Subject,Year,State,Population,population_percent
Total population,2000,South Dakota,754844,100
Male,2000,South Dakota,375163,49.70073287
Female,2000,South Dakota,380286,50.37941614
Under 5 years,2000,South Dakota,51041,6.76179449
5 to 9 years,2000,South Dakota,54225,7.1836035
10 to 14 years,2000,South Dakota,59463,7.877521713
15 to 19 years,2000,South Dakota,62463,8.274954825
20 to 24 years,2000,South Dakota,52802,6.995087727
25 to 34 years,2000,South Dakota,91013,12.05719327
35 to 44 years,2000,South Dakota,115386,15.28607235
45 to 54 years,2000,South Dakota,97682,12.94068708
55 to 59 years,2000,South Dakota,33611,4.452708109
60 to 64 years,2000,South Dakota,28738,3.807144258
65 to 74 years,2000,South Dakota,53129,7.038407936
75 to 84 years,2000,South Dakota,38916,5.155502329
85 years and over,2000,South Dakota,16086,2.131036347
White,2000,South Dakota,669404,88.68110497
Black,2000,South Dakota,4685,0.620658043
American Indian,2000,South Dakota,62283,8.251108838
Asian,2000,South Dakota,4378,0.579987388
Native,2000,South Dakota,261,0.034576681
Two or more races,2000,South Dakota,8612,1.140897987
Total population,2004,South Dakota,770396,100
Male,2004,South Dakota,383719,49.80802081
Female,2004,South Dakota,386677,50.19197919
Under 5 years,2004,South Dakota,52485,6.812730076
5 to 9 years,2004,South Dakota,51800,6.723814765
10 to 14 years,2004,South Dakota,56536,7.338563544
15 to 19 years,2004,South Dakota,61308,7.957985244
20 to 24 years,2004,South Dakota,59448,7.716550969
25 to 34 years,2004,South Dakota,195250,25.34410874
35 to 44 years,2004,South Dakota,104780,13.60079751
45 to 54 years,2004,South Dakota,110367,14.32600896
55 to 59 years,2004,South Dakota,41702,5.413060296
60 to 64 years,2004,South Dakota,32746,4.25054128
65 to 74 years,2004,South Dakota,51702,6.711094035
75 to 84 years,2004,South Dakota,39927,5.182659308
85 years and over,2004,South Dakota,17125,2.222882777
White,2004,South Dakota,683768,88.75539333
Black,2004,South Dakota,6006,0.779599063
American Indian,2004,South Dakota,66535,8.636467479
Asian,2004,South Dakota,5208,0.676015971
Native,2004,South Dakota,280,0.036344945
Two or more races,2004,South Dakota,9086,1.179393455
Total population,2008,South Dakota,799124,100
Male,2008,South Dakota,398888,49.91565765
Female,2008,South Dakota,400236,50.08434235
Under 5 years,2008,South Dakota,57745,7.226037511
5 to 9 years,2008,South Dakota,53643,6.712725434
10 to 14 years,2008,South Dakota,53906,6.745636472
15 to 19 years,2008,South Dakota,58793,7.357181113
20 to 24 years,2008,South Dakota,57993,7.257071493
25 to 34 years,2008,South Dakota,195036,24.40622482
35 to 44 years,2008,South Dakota,95531,11.95446514
45 to 54 years,2008,South Dakota,117282,14.67632057
55 to 59 years,2008,South Dakota,51239,6.411896026
60 to 64 years,2008,South Dakota,39612,4.956927836
65 to 74 years,2008,South Dakota,55042,6.887792132
75 to 84 years,2008,South Dakota,40322,5.045775124
85 years and over,2008,South Dakota,18511,2.316411471
White,2008,South Dakota,700873,87.70516215
Black,2008,South Dakota,10170.5,1.272706113
American Indian,2008,South Dakota,70785.5,8.857886886
Asian,2008,South Dakota,7410.5,0.927327924
Native,2008,South Dakota,444.5,0.055623408
Two or more races,2008,South Dakota,13156.5,1.64636527
Total population,2012,South Dakota,834631,100
Male,2012,South Dakota,419180,50.22339213
Female,2012,South Dakota,415451,49.77660787
Under 5 years,2012,South Dakota,59943,7.181976227
5 to 9 years,2012,South Dakota,58489,7.007767504
10 to 14 years,2012,South Dakota,54346,6.511380478
15 to 19 years,2012,South Dakota,57357,6.872138706
20 to 24 years,2012,South Dakota,59775,7.161847571
25 to 34 years,2012,South Dakota,109888,13.16605781
35 to 44 years,2012,South Dakota,93910,11.25167889
45 to 54 years,2012,South Dakota,112282,13.45289116
55 to 59 years,2012,South Dakota,57326,6.868424489
60 to 64 years,2012,South Dakota,49122,5.885475138
65 to 74 years,2012,South Dakota,62171,7.448920541
75 to 84 years,2012,South Dakota,39860,4.775763182
85 years and over,2012,South Dakota,20162,2.415678306
White,2012,South Dakota,717978,86.02340435
Black,2012,South Dakota,14335,1.717525469
American Indian,2012,South Dakota,75036,8.990320273
Asian,2012,South Dakota,9613,1.151766469
Native,2012,South Dakota,609,0.072966377
Two or more races,2012,South Dakota,17227,2.064025899
Total population,2016,South Dakota,853175,100
Male,2016,South Dakota,407381,47.74882058
Female,2016,South Dakota,406799,47.6806048
Under 5 years,2016,South Dakota,61244,7.178363173
5 to 9 years,2016,South Dakota,60266,7.063732528
10 to 14 years,2016,South Dakota,56525,6.625252732
15 to 19 years,2016,South Dakota,56581,6.63181645
20 to 24 years,2016,South Dakota,61382,7.194538049
25 to 34 years,2016,South Dakota,112092,13.13821901
35 to 44 years,2016,South Dakota,96949,11.36331937
45 to 54 years,2016,South Dakota,104744,12.27696545
55 to 59 years,2016,South Dakota,59517,6.975942802
60 to 64 years,2016,South Dakota,54749,6.417089108
65 to 74 years,2016,South Dakota,73131,8.571629502
75 to 84 years,2016,South Dakota,39921,4.679110382
85 years and over,2016,South Dakota,21368,2.504527207
White,2016,South Dakota,706690,82.83060333
Black,2016,South Dakota,10533,1.234565007
American Indian,2016,South Dakota,72782,8.530723474
Asian,2016,South Dakota,7775,0.911301902
Native,2016,South Dakota,517,0.060597181
Two or more races,2016,South Dakota,15883,1.861634483
Total population,2000,Rhode Island,1050300,100
Male,2000,Rhode Island,504494,48.03332381
Female,2000,Rhode Island,545774,51.96362944
Under 5 years,2000,Rhode Island,63916,6.085499381
5 to 9 years,2000,Rhode Island,71629,6.819860992
10 to 14 years,2000,Rhode Island,71691,6.825764067
15 to 19 years,2000,Rhode Island,75568,7.194896696
20 to 24 years,2000,Rhode Island,72428,6.895934495
25 to 34 years,2000,Rhode Island,310069,29.52194611
35 to 44 years,2000,Rhode Island,170127,16.19794344
45 to 54 years,2000,Rhode Island,143021,13.617157
55 to 59 years,2000,Rhode Island,50321,4.791107303
60 to 64 years,2000,Rhode Island,39195,3.731790917
65 to 74 years,2000,Rhode Island,73441,6.992383129
75 to 84 years,2000,Rhode Island,57984,5.520708369
85 years and over,2000,Rhode Island,21005,1.999904789
White,2000,Rhode Island,942328,89.71988956
Black,2000,Rhode Island,59931,5.706083976
American Indian,2000,Rhode Island,5910,0.562696372
Asian,2000,Rhode Island,25335,2.412167952
Native,2000,Rhode Island,1139,0.108445206
Two or more races,2000,Rhode Island,13676,1.302104161
Total population,2004,Rhode Island,1074600,100
Male,2004,Rhode Island,518204,48.22296669
Female,2004,Rhode Island,556375,51.7750791
Under 5 years,2004,Rhode Island,63118,5.873627396
5 to 9 years,2004,Rhode Island,65871,6.129815745
10 to 14 years,2004,Rhode Island,73730,6.86115764
15 to 19 years,2004,Rhode Island,80581,7.49869719
20 to 24 years,2004,Rhode Island,78101,7.267913642
25 to 34 years,2004,Rhode Island,299215,27.84431416
35 to 44 years,2004,Rhode Island,163972,15.25888703
45 to 54 years,2004,Rhode Island,156391,14.55341522
55 to 59 years,2004,Rhode Island,62256,5.793411502
60 to 64 years,2004,Rhode Island,45973,4.278150009
65 to 74 years,2004,Rhode Island,68002,6.328122092
75 to 84 years,2004,Rhode Island,58427,5.437092872
85 years and over,2004,Rhode Island,23274,2.165829146
White,2004,Rhode Island,962437,89.56234878
Black,2004,Rhode Island,65958,6.137911781
American Indian,2004,Rhode Island,6366,0.592406477
Asian,2004,Rhode Island,28763,2.67662386
Native,2004,Rhode Island,1275,0.1186488
Two or more races,2004,Rhode Island,15833,1.473385446
Total population,2008,Rhode Island,1055000,100
Male,2008,Rhode Island,509591,48.30246445
Female,2008,Rhode Island,545412,51.69781991
Under 5 years,2008,Rhode Island,59081,5.600094787
5 to 9 years,2008,Rhode Island,60974,5.779526066
10 to 14 years,2008,Rhode Island,65974,6.253459716
15 to 19 years,2008,Rhode Island,82103,7.782274882
20 to 24 years,2008,Rhode Island,80076,7.59014218
25 to 34 years,2008,Rhode Island,272611,25.83990521
35 to 44 years,2008,Rhode Island,145423,13.78417062
45 to 54 years,2008,Rhode Island,162107,15.36559242
55 to 59 years,2008,Rhode Island,67195,6.369194313
60 to 64 years,2008,Rhode Island,55180,5.230331754
65 to 74 years,2008,Rhode Island,70415,6.674407583
75 to 84 years,2008,Rhode Island,53604,5.080947867
85 years and over,2008,Rhode Island,25683,2.434407583
White,2008,Rhode Island,932528.5,88.39132701
Black,2008,Rhode Island,71938.5,6.818815166
American Indian,2008,Rhode Island,8068,0.764739336
Asian,2008,Rhode Island,31573,2.992701422
Native,2008,Rhode Island,1505,0.142654028
Two or more races,2008,Rhode Island,20899.5,1.980995261
Total population,2012,Rhode Island,1052400,100
Male,2012,Rhode Island,508247,48.2940897
Female,2012,Rhode Island,543055,51.60157735
Under 5 years,2012,Rhode Island,55661,5.288958571
5 to 9 years,2012,Rhode Island,59454,5.649372862
10 to 14 years,2012,Rhode Island,61995,5.890820981
15 to 19 years,2012,Rhode Island,76632,7.281641961
20 to 24 years,2012,Rhode Island,83177,7.903553782
25 to 34 years,2012,Rhode Island,132528,12.59293044
35 to 44 years,2012,Rhode Island,129140,12.27099962
45 to 54 years,2012,Rhode Island,158065,15.01947929
55 to 59 years,2012,Rhode Island,75180,7.143671608
60 to 64 years,2012,Rhode Island,61999,5.891201064
65 to 74 years,2012,Rhode Island,82230,7.813568985
75 to 84 years,2012,Rhode Island,48816,4.638540479
85 years and over,2012,Rhode Island,27516,2.614595211
White,2012,Rhode Island,902620,85.76776891
Black,2012,Rhode Island,77919,7.403933865
American Indian,2012,Rhode Island,9770,0.928354238
Asian,2012,Rhode Island,34383,3.267103763
Native,2012,Rhode Island,1735,0.164861269
Two or more races,2012,Rhode Island,25966,2.467312809
Total population,2016,Rhode Island,1055000,100
Male,2016,Rhode Island,511949,48.52597156
Female,2016,Rhode Island,544349,51.59706161
Under 5 years,2016,Rhode Island,55128,5.225402844
5 to 9 years,2016,Rhode Island,56866,5.39014218
10 to 14 years,2016,Rhode Island,60536,5.738009479
15 to 19 years,2016,Rhode Island,73659,6.981895735
20 to 24 years,2016,Rhode Island,79833,7.567109005
25 to 34 years,2016,Rhode Island,141516,13.41383886
35 to 44 years,2016,Rhode Island,124128,11.7656872
45 to 54 years,2016,Rhode Island,149831,14.20199052
55 to 59 years,2016,Rhode Island,77841,7.378293839
60 to 64 years,2016,Rhode Island,66984,6.349194313
65 to 74 years,2016,Rhode Island,93354,8.848720379
75 to 84 years,2016,Rhode Island,48209,4.56957346
85 years and over,2016,Rhode Island,28413,2.693175355
White,2016,Rhode Island,895343,84.86663507
Black,2016,Rhode Island,83101,7.876872038
American Indian,2016,Rhode Island,10192,0.966066351
Asian,2016,Rhode Island,37871,3.589668246
Native,2016,Rhode Island,1882,0.178388626
Two or more races,2016,Rhode Island,27909,2.645402844
Voter Turnout percent,2016,South Dakota,69.62,69.62
Voter Turnout percent,2012,South Dakota,69.72,69.72
Voter Turnout percent,2008,South Dakota,73.02,73.02
Voter Turnout percent,2004,South Dakota,71.233,71.233
Voter Turnout percent,2000,South Dakota,66.73,66.73
Voter Turnout percent,2016,Rhode Island,59.3,59.3
Voter Turnout percent,2012,Rhode Island,62.5,62.5
Voter Turnout percent,2008,Rhode Island,67.4,67.4
Voter Turnout percent,2004,Rhode Island,63.7,63.7
Voter Turnout percent,2000,Rhode Island,63.5,63.5
Democrat vote percent,2000,South Dakota,35.72,35.72
Democrat vote percent,2004,South Dakota,38,38
Democrat vote percent,2008,South Dakota,43.05,43.05
Democrat vote percent,2012,South Dakota,38.28,38.28
Democrat vote percent,2016,South Dakota,28.28,28.28
Republican vote percent,2000,South Dakota,61.79,61.79
Republican vote percent,2004,South Dakota,60.25,60.25
Republican vote percent,2008,South Dakota,54.62,54.62
Republican vote percent,2012,South Dakota,59.58,59.58
Republican vote percent,2016,South Dakota,66,66
Democrat vote percent,2000,Rhode Island,61,61
Democrat vote percent,2004,Rhode Island,59.42,59.42
Democrat vote percent,2008,Rhode Island,62.86,62.86
Democrat vote percent,2012,Rhode Island,62.7,62.7
Democrat vote percent,2016,Rhode Island,54.4,54.4
Republican vote percent,2000,Rhode Island,31.9,31.9
Republican vote percent,2004,Rhode Island,38.67,38.67
Republican vote percent,2008,Rhode Island,35.06,35.06
Republican vote percent,2012,Rhode Island,35.2,35.2
Republican vote percent,2016,Rhode Island,38.9,38.9
