South_Dakota_Counties,Democrat,Republican,Others,Year,Voter_turnout_percent
Aurora,556,804,40,2012,75.05
Beadle,2881,4230,152,2012,69.35
Bennett,548,626,29,2012,64.92
Bon Homme,1167,1830,77,2012,78.77
Brookings,5826,6219,353,2012,67.05
Brown,7249,8320,497,2012,69.62
Brule,824,1499,56,2012,71.17
Buffalo,472,166,3,2012,74.29
Butte,1000,3068,133,2012,66.29
Campbell,153,616,18,2012,66.17
Charles Mix,1482,2229,51,2012,67.50
Clark,713,1067,41,2012,71.36
Clay,2955,2146,132,2012,63.90
Codington,4588,6696,240,2012,69.51
Corson,647,515,37,2012,50.31
Custer,1335,3062,123,2012,77.35
Davison,3042,4754,172,2012,69.42
Day,1497,1320,56,2012,69.78
Deuel,941,1175,55,2012,73.87
Dewey,1207,663,25,2012,62.05
Douglas,332,1334,24,2012,75.09
Edmunds,622,1264,50,2012,70.06
Fall river,1137,2256,118,2012,69.73
Faulk,331,765,31,2012,71.21
Grant,1493,2034,79,2012,71.81
Gregory,599,1507,45,2012,76.60
Haakon,138,940,14,2012,80.52
Hamlin,921,1803,69,2012,74.51
Hand,575,1242,31,2012,74.42
Hanson,760,1627,29,2012,67.60
Harding,82,638,19,2012,78.96
Hughes,2786,5219,150,2012,75.25
Hutchinson,923,2451,51,2012,71.85
Hyde,189,531,13,2012,72.07
Jackson,426,661,19,2012,65.63
Jerauld,452,538,16,2012,75.13
Jones,108,490,11,2012,82.93
Kingsbury,1092,1451,65,2012,75.34
Lake,2724,3419,142,2012,71.35
Lawerence,3973,7025,361,2012,68.84
Lincoln,7982,13611,359,2012,73.91
Lyman,605,933,31,2012,67.13
Marshall,1061,899,37,2012,68.45
McCook,905,1655,53,2012,70.90
McPherson,272,921,22,2012,68.71
Meade,2928,7560,323,2012,70.45
Mellette,375,381,13,2012,64.82
Miner,479,636,25,2012,69.81
Minnehaha,34668,40330,1567,2012,70.01
Moody,1429,1535,69,2012,74.07
Pennington,15122,28229,1107,2012,69.83
Perkins,319,1205,66,2012,74.84
Potter,339,1029,13,2012,75.00
Roberts,2302,1883,71,2012,66.26
Sanbron,389,688,38,2012,69.06
Shannon,2922,188,20,2012,41.12
Spink,1300,1670,71,2012,71.77
Stanely,435,1063,42,2012,78.10
Sully,186,611,19,2012,77.75
Todd,1976,498,23,2012,50.28
Tripp,737,1905,49,2012,71.51
Turner,1411,2715,84,2012,73.72
Union,2782,4698,116,2012,70.48
Walworth,671,1731,60,2012,65.54
Yankton,4208,5468,253,2012,72.45
Ziebach,439,314,8,2012,48.75
Aurora,655,794,46,2008,76.91
Beadle,3493,4054,167,2008,68.20
Bennett,557,614,37,2008,57.06
Bon Homme,1367,1712,96,2008,78.74
Brookings,7207,6431,307,2008,72.78
Brown,9041,8067,318,2008,73.56
Brule,965,1407,67,2008,70.12
Buffalo,454,156,9,2008,55.65
Butte,1306,2821,129,2008,70.02
Campbell,243,591,20,2008,69.90
Charles Mix,1807,2109,62,2008,69.93
Clark,830,1065,45,2008,70.48
Clay,3808,2296,138,2008,69.16
Codington,5595,6374,216,2008,72.35
Corson,837,535,34,2008,57.54
Custer,1475,2909,123,2008,77.62
Davison,3554,4731,170,2008,71.93
Day,1785,1372,48,2008,73.90
Deuel,1054,1088,76,2008,73.60
Dewey,1328,659,32,2008,54.54
Douglas,424,1293,39,2008,76.59
Edmunds,819,1213,44,2008,73.97
Fall river,1338,2348,123,2008,70.93
Faulk,426,739,27,2008,72.29
Grant,1786,1951,93,2008,73.53
Gregory,771,1423,53,2008,75.47
Haakon,187,939,27,2008,77.28
Hamlin,1043,1661,83,2008,76.94
Hand,718,1247,46,2008,75.39
Hanson,961,1426,44,2008,69.36
Harding,135,575,24,2008,78.99
Hughes,3037,5298,133,2008,76.77
Hutchinson,1242,2285,81,2008,70.38
Hyde,226,547,12,2008,74.20
Jackson,435,668,30,2008,66.47
Jerauld,542,546,17,2008,72.16
Jones,147,463,17,2008,78.90
Kingsbury,1277,1435,72,2008,75.31
Lake,3033,2993,131,2008,76.32
Lawerence,4932,6787,336,2008,71.97
Lincoln,8642,11803,322,2008,78.42
Lyman,710,894,37,2008,65.73
Marshall,1219,1646,80,2008,72.78
McCook,1219,1646,80,2008,74.21
McPherson,441,915,19,2008,71.45
Meade,1261,900,30,2008,74.45
Mellette,3751,7515,340,2008,64.68
Miner,373,445,25,2008,71.34
Minnehaha,605,577,36,2008,76.24
Moody,39838,39251,1463,2008,74.51
Pennington,1663,1508,83,2008,74.50
Perkins,499,1102,85,2008,76.28
Potter,482,937,21,2008,76.86
Roberts,2672,1781,83,2008,68.02
Sanbron,500,669,38,2008,68.07
Shannon,2971,331,48,2008,42.59
Spink,1550,1660,59,2008,73.00
Stanely,510,1017,26,2008,75.11
Sully,233,581,19,2008,79.31
Todd,2208,571,49,2008,51.50
Tripp,914,1859,66,2008,72.91
Turner,1681,2538,133,2008,75.23
Union,3244,4310,147,2008,74.37
Walworth,923,1668,59,2008,70.27
Yankton,4838,5039,257,2008,74.47
Ziebach,554,312,25,2008,57.92
Aurora,620,1009,20,2004,81.01
Beadle,3443,4917,120,2004,76.07
Bennett,759,833,38,2004,70.08
Bon Homme,1293,2063,52,2004,81.70
Brookings,5443,7662,270,2004,78.68
Brown,7943,10386,270,2004,79.79
Brule,1040,1544,45,2004,76.14
Buffalo,603,223,15,2004,75.95
Butte,1009,3166,96,2004,74.26
Campbell,239,708,12,2004,77.90
Charles Mix,2155,2556,87,2004,82.13
Clark,875,1435,17,2004,81.05
Clay,3315,2692,129,2004,67.18
Codington,4803,7778,170,2004,78.29
Corson,972,720,32,2004,66.96
Custer,1272,2922,110,2004,80.10
Davison,3263,5561,128,2004,79.83
Day,1817,1671,52,2004,81.33
Deuel,961,1406,45,2004,80.53
Dewey,1606,921,37,2004,63.10
Douglas,393,1596,23,2004,84.70
Edmunds,765,1434,35,2004,79.77
Fall river,1326,2413,106,2004,76.41
Faulk,418,945,6,2004,79.13
Grant,1633,2392,65,2004,78.98
Gregory,813,1685,48,2004,73.63
Haakon,219,1007,14,2004,80.24
Hamlin,1015,1946,50,2004,82.11
Hand,668,1482,37,2004,79.50
Hanson,745,1379,26,2004,74.75
Harding,94,704,17,2004,82.82
Hughes,2697,6017,121,2004,79.43
Hutchinson,1177,2899,71,2004,82.99
Hyde,259,631,10,2004,78.25
Jackson,508,726,37,2004,70.91
Jerauld,482,736,18,2004,79.39
Jones,134,565,18,2004,86.67
Kingsbury,1163,1804,47,2004,82.02
Lake,2509,3359,139,2004,78.61
Lawerence,3857,7489,273,2004,77.30
Lincoln,5703,11161,202,2004,84.15
Lyman,872,1029,39,2004,74.50
Marshall,1201,2017,53,2004,84.06
McCook,369,1180,30,2004,80.72
McPherson,1099,1242,23,2004,77.20
Meade,2941,8347,216,2004,78.05
Mellette,361,553,17,2004,72.19
Miner,641,810,19,2004,77.85
Minnehaha,32314,44189,1129,2004,81.69
Moody,1609,1790,52,2004,78.60
Pennington,14213,29976,779,2004,79.17
Perkins,418,1329,66,2004,79.30
Potter,463,1329,66,2004,82.06
Roberts,2527,2396,59,2004,75.76
Sanbron,581,817,28,2004,75.35
Shannon,3566,526,122,2004,56.98
Spink,1478,2259,37,2004,81.34
Stanely,464,1129,30,2004,80.11
Sully,201,702,14,2004,83.62
Todd,2543,889,92,2004,65.17
Tripp,972,2230,43,2004,80.04
Turner,1646,3084,104,2004,80.94
Union,3000,3987,61,2004,76.70
Walworth,878,1967,35,2004,73.61
Yankton,4237,6003,191,2004,79.93
Ziebach,641,447,28,2004,66.88
Aurora,513,847,53,2000,70.79
Beadle,3216,4347,176,2000,66.97
Bennett,377,712,27,2000,59.21
Bon Homme,1162,1901,76,2000,72.22
Brookings,4546,6212,226,2000,64.24
Brown,7173,9060,323,2000,73.20
Brule,818,1268,81,2000,65.61
Buffalo,256,140,12,2000,44.06
Butte,840,2760,89,2000,62.63
Campbell,147,739,31,2000,65.40
Charles Mix,1300,2205,74,2000,64.51
Clark,791,1272,45,2000,74.39
Clay,2638,2363,104,2000,57.19
Codington,4192,6718,228,2000,71.59
Corson,549,629,65,2000,55.17
Custer,955,2495,123,2000,71.00
Davison,2936,4445,147,2000,65.31
Day,1492,1623,82,2000,71.69
Deuel,926,1245,53,2000,74.54
Dewey,880,761,40,2000,49.20
Douglas,363,1311,35,2000,71.84
Edmunds,676,1257,53,2000,65.68
Fall river,1133,2185,111,2000,69.43
Faulk,388,904,37,2000,76.30
Grant,1475,2235,120,2000,74.46
Gregory,718,1487,52,2000,66.98
Haakon,164,938,27,2000,71.64
Hamlin,923,1731,69,2000,74.32
Hand,565,1419,47,2000,70.18
Hanson,457,944,20,2000,62.00
Harding,64,650,17,2000,75.61
Hughes,2212,5188,134,2000,70.05
Hutchinson,1052,2497,76,2000,67.28
Hyde,218,592,25,2000,68.56
Jackson,319,687,34,2000,62.53
Jerauld,468,624,30,2000,72.78
Jones,137,509,18,2000,78.45
Kingsbury,1049,1612,66,2000,69.40
Lake,2331,2724,99,2000,69.67
Lawerence,2797,6327,282,2000,65.44
Lincoln,3844,6546,166,2000,74.67
Lyman,482,875,29,2000,61.23
Marshall,965,1610,56,2000,71.80
McCook,295,1073,49,2000,68.60
McPherson,939,1097,43,2000,65.45
Meade,2267,6870,229,2000,64.02
Mellette,222,495,16,2000,59.89
Miner,523,724,19,2000,67.28
Minnehaha,27042,33428,899,2000,72.17
Moody,1318,1361,56,2000,72.41
Pennington,11123,24696,738,2000,69.60
Perkins,297,1237,80,2000,67.81
Potter,356,1112,26,2000,70.84
Roberts,1700,2237,137,2000,68.22
Sanbron,468,767,33,2000,67.63
Shannon,1667,252,34,2000,38.35
Spink,1274,1957,53,2000,69.47
Stanely,402,955,24,2000,68.70
Sully,209,633,29,2000,72.61
Todd,993,478,23,2000,39.41
Tripp,799,1909,57,2000,71.32
Turner,1414,2514,76,2000,70.39
Union,2358,3265,149,2000,68.77
Walworth,721,1758,74,2000,64.40
Yankton,3596,4904,240,2000,67.98
Ziebach,314,384,23,2000,49.73
Aurora,664,709,214,1996,75.80
Beadle,3984,3670,927,1996,72.60
Bennett,507,539,99,1996,60.20
Bon Homme,1569,1428,439,1996,73.60
Brookings,5105,5112,1055,1996,67.30
Brown,7913,681,1733,1996,72.60
Brule,1091,981,332,1996,67.90
Buffalo,465,134,41,1996,67.90
Butte,1132,1947,578,1996,71.20
Campbell,202,623,145,1996,64.20
Charles Mix,1913,1711,411,1996,71.70
Clark,956,998,288,1996,75.80
Clay,2980,2008,584,1996,60.20
Codington,4722,4995,1338,1996,72.90
Corson,539,533,228,1996,55.60
Custer,1122,1740,495,1996,67.10
Davison,3364,3371,793,1996,71.10
Day,1840,1282,411,1996,75.40
Deuel,1090,955,304,1996,76.70
Dewey,1114,657,208,1996,58.10
Douglas,524,1210,175,1996,77.00
Edmunds,973,1055,282,1996,74.50
Fall river,1357,1636,465,1996,66.90
Faulk,493,726,170,1996,77.60
Grant,1805,1782,496,1996,74.60
Gregory,923,1208,302,1996,70.10
Haakon,284,887,118,1996,76.40
Hamlin,1101,1352,305,1996,74.30
Hand,803,1187,278,1996,74.30
Hanson,541,801,192,1996,74.20
Harding,151,537,97,1996,74.50
Hughes,2788,4469,611,1996,74.30
Hutchinson,1285,2177,449,1996,71.60
Hyde,309,493,102,1996,72.80
Jackson,423,646,100,1996,66.80
Jerauld,656,530,178,1996,79.70
Jones,184,463,82,1996,81.10
Kingsbury,1357,1297,347,1996,74.40
Lake,2526,1966,626,1996,71.70
Lawerence,3568,4430,1444,1996,68.00
Lincoln,3643,4201,743,1996,73.20
Lyman,646,726,151,1996,66.70
Marshall,1166,1292,265,1996,75.70
McCook,463,1080,192,1996,72.00
McPherson,1185,861,200,1996,75.20
Meade,2960,4984,1232,1996,62.40
Mellette,302,417,79,1996,59.00
Miner,739,571,179,1996,74.80
Minnehaha,29790,27432,4782,1996,73.50
Moody,1443,1024,300,1996,68.90
Pennington,12784,19293,3439,1996,69.00
Perkins,460,983,249,1996,71.70
Potter,534,979,189,1996,75.10
Roberts,2186,1646,501,1996,69.60
Sanbron,647,630,161,1996,73.40
Shannon,1926,253,105,1996,43.70
Spink,1636,1651,382,1996,72.60
Stanely,454,795,133,1996,68.00
Sully,321,592,112,1996,83.20
Todd,1380,482,129,1996,49.80
Tripp,1088,1680,364,1996,73.20
Turner,1682,1970,399,1996,71.30
Union,2378,2234,595,1996,68.50
Walworth,939,1461,389,1996,65.90
Yankton,3775,3885,1166,1996,70.30
Ziebach,483,375,72,1996,63.50
Aurora,680,594,438,1992,76.70
Beadle,3925,3363,1848,1992,75.74
Bennett,413,556,228,1992,59.35
Bon Homme,1294,1212,861,1992,70.00
Brookings,4645,4698,2659,1992,75.33
Brown,7521,6665,3861,1992,78.93
Brule,1060,908,708,1992,77.61
Buffalo,282,137,77,1992,48.82
Butte,973,1674,1053,1992,78.41
Campbell,222,574,257,1992,71.68
Charles Mix,1639,1570,890,1992,71.34
Clark,799,803,773,1992,80.86
Clay,2826,1869,1341,1992,75.19
Codington,3701,3943,3299,1992,78.43
Corson,444,483,324,1992,57.62
Custer,1078,1422,863,1992,77.17
Davison,3285,3111,1750,1992,76.52
Day,1578,1161,986,1992,76.63
Deuel,880,778,765,1992,78.36
Dewey,766,642,344,1992,56.30
Douglas,1175,403,8,1992,80.65
Edmunds,894,944,422,1992,73.69
Fall river,1416,1533,805,1992,71.50
Faulk,488,658,288,1992,78.88
Grant,1484,1595,1031,1992,78.89
Gregory,879,1027,709,1992,74.10
Haakon,209,860,249,1992,82.17
Hamlin,826,1133,781,1992,79.60
Hand,785,1130,631,1992,80.54
Hanson,566,522,347,1992,70.62
Harding,139,515,227,1992,79.44
Hughes,2578,4325,1218,1992,78.75
Hutchinson,1211,2002,943,1992,72.17
Hyde,301,440,214,1992,78.86
Jackson,351,627,190,1992,67.71
Jerauld,600,518,349,1992,82.88
Jones,166,454,159,1992,81.06
Kingsbury,1267,1113,763,1992,78.85
Lake,2388,1890,1312,1992,80.11
Lawerence,3157,3770,2732,1992,74.27
Lincoln,2943,3365,1615,1992,78.88
Lyman,486,669,325,1992,74.79
Marshall,1056,810,431,1992,75.41
McCook,1167,1177,640,1992,78.07
McPherson,478,945,329,1992,73.92
Meade,2694,4724,2657,1992,72.23
Mellette,277,417,147,1992,67.99
Miner,698,543,343,1992,75.68
Minnehaha,27016,25081,11689,1992,77.78
Moody,1473,898,733,1992,77.79
Pennington,11106,18052,8511,1992,71.10
Perkins,566,872,553,1992,71.08
Potter,493,901,384,1992,78.60
Roberts,1716,1437,968,1992,72.60
Sanbron,632,595,383,1992,76.19
Shannon,1267,225,159,1992,37.49
Spink,1732,1527,853,1992,79.89
Stanely,427,719,253,1992,74.30
Sully,273,565,172,1992,79.46
Todd,915,456,259,1992,47.79
Tripp,1046,1459,858,1992,75.83
Turner,1507,1906,877,1992,72.92
Union,2210,1784,1103,1992,78.22
Walworth,829,1439,640,1992,73.55
Yankton,3404,3430,2538,1992,79.14
Ziebach,280,328,122,1992,60.88
Aurora,987,856,11,1988,
Beadle,4523,4611,46,1988,
Bennett,579,663,20,1988,
Bon Homme,1574,1826,17,1988,
Brookings,4860,5394,51,1988,
Brown,8673,8537,92,1988,
Brule,991,971,12,1988,
Buffalo,334,151,5,1988,
Butte,1256,2291,35,1988,
Campbell,334,909,9,1988,
Charles Mix,2205,1966,13,1988,
Clark,1164,1247,13,1988,
Clay,2859,2307,34,1988,
Codington,4570,5050,94,1988,
Corson,722,710,16,1988,
Custer,1180,1806,50,1988,
Davison,3705,4024,57,1988,
Day,2137,1616,21,1988,
Deuel,1246,1251,31,1988,
Dewey,1007,765,17,1988,
Douglas,695,1438,6,1988,
Edmunds,1259,1327,13,1988,
Fall river,1380,2002,35,1988,
Faulk,714,842,5,1988,
Grant,1988,2148,36,1988,
Gregory,1138,1566,18,1988,
